addr	type	namespace	name	source
EXTERNAL:0000007d	Function	KERNEL32.DLL	RtlVirtualUnwind	IMPORTED
EXTERNAL:0000007e	Function	KERNEL32.DLL	SetCommMask	IMPORTED
EXTERNAL:0000007f	Function	KERNEL32.DLL	SetCommState	IMPORTED
EXTERNAL:00000080	Function	KERNEL32.DLL	SetCommTimeouts	IMPORTED
EXTERNAL:00000081	Function	KERNEL32.DLL	SetConsoleCtrlHandler	IMPORTED
EXTERNAL:00000082	Function	KERNEL32.DLL	SetConsoleMode	IMPORTED
EXTERNAL:00000083	Function	KERNEL32.DLL	SetConsoleWindowInfo	IMPORTED
EXTERNAL:00000084	Function	KERNEL32.DLL	SetUnhandledExceptionFilter	IMPORTED
EXTERNAL:00000085	Function	KERNEL32.DLL	SetupComm	IMPORTED
EXTERNAL:00000086	Function	KERNEL32.DLL	SizeofResource	IMPORTED
EXTERNAL:00000087	Function	KERNEL32.DLL	Sleep	IMPORTED
EXTERNAL:00000088	Function	KERNEL32.DLL	TerminateProcess	IMPORTED
EXTERNAL:00000089	Function	KERNEL32.DLL	TlsGetValue	IMPORTED
EXTERNAL:0000008a	Function	KERNEL32.DLL	UnhandledExceptionFilter	IMPORTED
EXTERNAL:0000008b	Function	KERNEL32.DLL	VirtualProtect	IMPORTED
EXTERNAL:0000008c	Function	KERNEL32.DLL	VirtualQuery	IMPORTED
EXTERNAL:0000008d	Function	KERNEL32.DLL	WideCharToMultiByte	IMPORTED
EXTERNAL:0000008e	Function	KERNEL32.DLL	WriteConsoleInputA	IMPORTED
EXTERNAL:0000008f	Function	KERNEL32.DLL	WriteFile	IMPORTED
EXTERNAL:00000090	Function	KERNEL32.DLL	WritePrivateProfileStringW	IMPORTED
EXTERNAL:00000091	Label	KERNEL32.DLL	__C_specific_handler	IMPORTED
EXTERNAL:00000092	Function	MSVCRT.DLL	__getmainargs	IMPORTED
EXTERNAL:00000093	Label	MSVCRT.DLL	__initenv	IMPORTED
EXTERNAL:00000094	Function	MSVCRT.DLL	__iob_func	IMPORTED
EXTERNAL:00000095	Function	MSVCRT.DLL	__lconv_init	IMPORTED
EXTERNAL:00000096	Function	MSVCRT.DLL	__set_app_type	IMPORTED
EXTERNAL:00000097	Function	MSVCRT.DLL	__setusermatherr	IMPORTED
EXTERNAL:00000098	Label	MSVCRT.DLL	_acmdln	IMPORTED
EXTERNAL:00000099	Function	MSVCRT.DLL	_amsg_exit	IMPORTED
EXTERNAL:0000009a	Function	MSVCRT.DLL	_cexit	IMPORTED
EXTERNAL:0000009b	Function	MSVCRT.DLL	_controlfp	IMPORTED
EXTERNAL:0000009c	Function	MSVCRT.DLL	_errno	IMPORTED
EXTERNAL:0000009d	Label	MSVCRT.DLL	_fmode	IMPORTED
